BigMac,Bread,WorkHrs,VacDays,BusFare,Service,TeachSal,TeachTax,EngSal,EngTax,City,Casenumbers
31,9,1714,31.9,1.27,280,21.8,28.2,44.3,44.1,Amsterdam,0
33,9,1792,23.5,.27,170,9.4,14.8,19.4,23.7,Athens,1
98,23,2152,17.4,.09,100,2.2,4.3,15.4,20.3,Bogota,2
131,27,2052,30.6,.09,70,1.1,11.7,4.7,37.6,Bombay,3
31,12,1708,24.6,1.11,250,22.7,38.2,49.8,50.7,Brussels,4
105,26,1971,16.2,.24,210,2.3,17,15,18.5,Buenos_Aires,5
103,75,2041,21.1,.2,250,2.5,6.5,5.3,6.1,Caracas,6
18,18,1924,11.8,1.13,260,33.3,27.5,56.5,33.1,Chicago,7
39,4,1717,25,2.46,330,29.1,39.5,54.3,44.8,Copenhagen,8
29,12,1759,22.9,1.18,260,23.3,22.9,43.4,39.5,Dublin,9
22,12,1693,29.6,1.49,280,32.7,18.9,64.6,32.8,Dusseldorf,10
22,13,1650,30.1,1.37,290,35.7,27.7,51.5,41.8,Frankfort,11
21,10,1880,22.7,1.21,350,58,25.4,64.3,28.1,Geneva,12
40,27,1667,28.6,1.8,410,31.6,33.5,42.6,38.5,Helsinki,13
24,14,2375,10.9,.77,230,21.1,11.7,18.3,8.7,Hong_Kong,14
27,10,1978,9,.85,260,18.8,21.5,29.5,23.1,Houston,15
35,7,1945,19.4,1,160,12.4,23,24.2,32,Johannesburg,16
57,40,2167,17.6,.23,110,4.3,7.9,12.1,17.9,Kuala_Lumpur,17
130,216,1786,22.8,.7,100,.7,4.7,1.9,13.3,Lagos,18
36,11,1737,24.5,1.85,310,26.9,21.7,24.4,20.8,London,19
20,15,2068,10,1.1,300,37,20.3,60,40.6,Los_Angeles,20
20,9,1768,29.5,.84,220,44.9,19.6,68.3,28.1,Luxembourg,21
54,10,1710,32,1.06,330,23.6,24,36.9,28,Madrid,22
165,86,2268,16.9,.3,90,2,13.5,3.5,15.5,Manila,23
235,37,1944,10.1,.09,160,2.1,4.7,3.8,8.4,Mexico_City,24
33,17,1773,24.6,.77,300,19.7,25.1,39.9,29.7,Milan,25
21,10,1827,17.2,1.25,250,31.1,32.2,33.6,33.9,Montreal,26
82,31,1958,28.5,.2,120,1.6,7.9,4.3,8.9,Nairobi,27
26,22,1942,12.2,1.15,270,32.5,23.4,48,27,New_York,28
40,8,1825,20.3,.51,140,15,19.3,20.3,23.6,Nicosia,29
43,12,1583,31.4,1.88,350,21,35,26.9,37,Oslo,30
66,50,2078,28.6,.2,220,5,15.3,12.1,22.3,Panama,31
39,18,1744,27,.82,290,21,22.3,38.8,27.2,Paris,32
79,30,1749,26.5,.24,220,2,5.9,9.5,19.5,Rio_de_Janeiro,33
106,32,1856,30.7,.37,220,4.5,20.7,9.2,22.7,Sao_Paulo,34
30,18,1842,23.8,.59,150,15.4,7.9,18.8,7.9,Seoul,35
70,39,2042,18.9,.52,150,9.7,25.7,23.4,29,Singapore,36
61,40,1805,27.8,2.66,440,28.1,55,26.3,55,Stockholm,37
18,12,1668,22.4,2.06,220,23.1,24.5,27.2,27.1,Sydney,38
34,16,2145,17.7,.33,330,13,9.8,24.2,11.6,Taipei,39
33,9,2015,18.7,.73,230,9.1,10.1,17.6,13.1,Tel_Aviv,40
21,14,1880,24,1.32,410,32,17.4,34.9,16.9,Tokyo,41
20,10,1888,12.2,.99,260,35,30.6,45.5,31.6,Toronto,42
30,12,1780,26.8,1.38,310,20.7,25.7,49.5,32.4,Vienna,43
20,9,1868,24,1.88,390,57.8,22.4,71.7,27.5,Zurich,44
