fuel,pop,inc,lic,veh,tax,vm,sid
644.147,4041,14.826,.70923,.911408,13,11.0684,AL
474.545,550,21.761,.549091,.669091,8,10.5625,AK
552.524,3665,16.297,.660573,.777899,18,12.2119,AZ
683.539,2351,14.218,.735857,.615908,18.7,14.0981,AR
501.344,29760,20.795,.670665,.745161,15,11.3403,CA
506.072,3294,18.794,.647541,.984821,22,8.50092,CO
483.724,3287,25.358,.728628,.812899,22,9.79903,CT
585.586,666,20.039,.731231,.797297,19,12.1394,DE
326.194,607,24.181,.654036,.418451,18,13.4409,DC
516.386,12938,18.586,.712088,.891328,11.2,9.44129,FL
665.792,6478,16.944,.686477,.830195,7.5,14.0768,GA
350.181,1108,20.254,.599278,.685921,11,10.1974,HI
559.086,1007,15.16,.712016,1.02681,18,8.14507,ID
516.315,11431,20.303,.636602,.710611,19,10.0082,IL
596.32,5544,16.864,.696248,.796176,15,12.7304,IN
600.288,2777,17.249,.702197,.935902,20,8.68449,IA
619.048,2478,17.986,.698547,.80791,16,10.9456,KS
626.323,3685,14.929,.657531,.784261,15.4,11.1298,KY
541.943,4220,14.391,.611848,.713981,20,12.5835,LA
570.847,1228,17.2,.732085,.770358,17,12.4091,ME
505.961,4781,21.864,.661577,.748797,18.5,10.8721,MD
444.814,6016,22.642,.721908,.629488,21,12.2033,MA
508.015,9295,18.346,.692308,.775686,15,11.0804,MI
523.429,4375,18.731,.557486,.763657,20,11.1922,MN
588.03,2573,12.735,.728333,.739215,18.2,12.0373,MS
646.473,5117,17.497,.698847,.760211,11.03,12.3617,MO
662.078,799,15.11,.749687,.948686,20,10.8839,MT
597.592,1578,17.221,.685044,.878961,24.2,9.93583,NE
615.641,1202,19.416,.675541,.704659,18,11.1074,NV
518.485,1109,20.789,.741208,.861136,16.6,10.2817,NH
497.801,7730,24.968,.735834,.723545,10.5,10.7095,NJ
655.446,1515,14.228,.708251,.870627,17,12.0083,NM
347.693,17990,21.975,.571984,.564591,15.64,10.442,NY
578.971,6629,16.203,.689848,.788354,22.3,11.6489,NC
646.322,639,15.255,.666667,.984351,17,9.29889,ND
535.724,10847,17.473,.680833,.865769,20,8.98925,OH
630.642,3146,15.444,.740305,.823903,17,12.6682,OK
574.947,2842,17.156,.779733,.85855,20,10.582,OR
461.286,11882,18.672,.660158,.67556,17.8,10.4466,PA
418.744,1003,18.841,.690927,.666999,26,10.0747,RI
586.177,3487,15.099,.683395,.732722,16,12.8297,SC
650.862,696,15.872,.708333,1.03736,18,9.28532,SD
632.561,4877,15.798,.712938,.904039,20,10.3513,TN
574.616,16987,16.759,.655619,.748101,15,12.5521,TX
493.326,1723,14.083,.604179,.691236,19,11.6835,UT
563.055,563,17.436,.735346,.834813,16,12.266,VT
570.066,6187,19.746,.696622,.805237,17.7,11.9103,VA
534.826,4867,18.858,.68194,.881652,23,10.0753,WN
549.359,1793,13.747,.731735,.681539,20.35,12.2259,WV
504.906,4892,17.503,.677433,.72915,22.2,12.0791,WI
1030.84,454,16.398,.751101,1.0859,9,11.6633,WY
